id,county,pop_over_25,median_income,median_income_no_hs,median_income_hs,median_income_some_college,median_income_college,median_income_graduate_degree
1121,"Talladega County, Alabama",55967,26894,18841,24757,28170,39705,55254
1123,"Tallapoosa County, Alabama",29019,28902,21766,24059,30761,43259,53879
1125,"Tuscaloosa County, Alabama",117196,33154,17437,27238,31949,42285,52587
1127,"Walker County, Alabama",46142,29455,20938,25951,30748,41309,56553
1129,"Washington County, Alabama",11579,31200,24441,30019,30469,39148,55278
1131,"Wilcox County, Alabama",7499,25368,13490,26309,20433,43598,37857
1133,"Winston County, Alabama",17335,24698,16478,21093,28477,47194,51731
2013,"Aleutians East Borough, Alaska",2458,23229,22969,21300,28929,24211,73250
2016,"Aleutians West Census Area, Alaska",4065,28388,21622,25815,35094,37083,70625
2020,"Anchorage Municipality, Alaska",185891,45600,26173,32398,43034,55519,74362
2050,"Bethel Census Area, Alaska",9063,26621,11513,18663,33886,73833,76442
2060,"Bristol Bay Borough, Alaska",618,51397,20000,43462,53533,52813,61339
2068,"Denali Borough, Alaska",1390,40875,9643,48583,47500,31458,60156
2070,"Dillingham Census Area, Alaska",2725,30164,9821,19306,30506,50217,65625
2090,"Fairbanks North Star Borough, Alaska",59985,42187,28358,35249,41508,50120,66370
2100,"Haines Borough, Alaska",1948,28750,2500,27275,31364,26154,36250
2105,"Hoonah-Angoon Census Area, Alaska",1578,26458,16250,25119,26296,26979,56250
2110,"Juneau City and Borough, Alaska",21633,44709,23819,36097,40280,50122,72486
2122,"Kenai Peninsula Borough, Alaska",38242,38478,23093,36542,35668,46088,59671
2130,"Ketchikan Gateway Borough, Alaska",9199,38524,30522,33333,35250,45300,65250
2150,"Kodiak Island Borough, Alaska",8364,33112,18375,26014,35218,38452,72889
2164,"Lake and Peninsula Borough, Alaska",801,24762,12159,19375,25208,48750,73125
2170,"Matanuska-Susitna Borough, Alaska",57480,43877,24291,40722,41481,53932,65543
2180,"Nome Census Area, Alaska",5258,30870,12727,19031,38421,63571,76310
2185,"North Slope Borough, Alaska",6073,60105,28125,50969,66035,91364,82098
2188,"Northwest Arctic Borough, Alaska",3918,31138,9722,21875,43250,75260,82750
2195,"Petersburg Census Area, Alaska",2696,36037,20673,36417,29464,45000,50000
2198,"Prince of Wales-Hyder Census Area, Alaska",3817,30275,14500,23017,31281,57750,61000
2220,"Sitka City and Borough, Alaska",6092,40994,23972,33140,37188,49706,59643
2230,"Skagway Municipality, Alaska",797,32124,13854,31563,32019,45833,47500
2240,"Southeast Fairbanks Census Area, Alaska",4524,41664,30714,26676,42269,49861,71042
2261,"Valdez-Cordova Census Area, Alaska",6523,41046,22852,40104,40167,46250,66538
2270,"Wade Hampton Census Area, Alaska",3424,17428,8438,14074,22337,50417,63250
2275,"Wrangell City and Borough, Alaska",1806,32016,43333,30769,31020,31167,95375
2282,"Yakutat City and Borough, Alaska",396,41406,15536,19167,49167,43667,66875
2290,"Yukon-Koyukuk Census Area, Alaska",3537,21551,11012,15332,27059,49318,56750
4001,"Apache County, Arizona",42349,26883,16099,20787,28581,41488,50162
4003,"Cochise County, Arizona",89013,30102,13231,21457,31080,44055,51535
4005,"Coconino County, Arizona",78523,32274,18549,26619,30371,38371,54617
4007,"Gila County, Arizona",38494,28781,20521,25342,31075,31903,41205
4009,"Graham County, Arizona",22324,33449,20821,29302,34162,36833,55108
4011,"Greenlee County, Arizona",5354,38644,27333,36948,40021,42600,75368
4012,"La Paz County, Arizona",15967,26046,20800,23880,30132,44967,52647
4013,"Maricopa County, Arizona",2497802,36769,20244,27991,35935,51454,64799
4015,"Mohave County, Arizona",147081,25642,15974,22054,26583,37530,48505
4017,"Navajo County, Arizona",65802,27131,18095,22222,26731,42119,52764
4019,"Pima County, Arizona",650440,31630,17437,24478,31138,43332,55313
4021,"Pinal County, Arizona",250120,34165,20660,30618,35730,44739,50698
4023,"Santa Cruz County, Arizona",28729,25694,14282,21222,29596,45342,41516
4025,"Yavapai County, Arizona",157797,26797,16217,22653,27320,36537,39535
4027,"Yuma County, Arizona",121399,26139,15263,22233,30958,40604,56607
5001,"Arkansas County, Arkansas",13176,27710,21000,25606,26548,46635,50500
5003,"Ashley County, Arkansas",14671,30142,18991,27395,27388,41341,46154
5005,"Baxter County, Arkansas",31352,24093,15289,20499,25950,31299,56500
5007,"Benton County, Arkansas",145847,34711,22496,28164,33732,53395,64363
5009,"Boone County, Arkansas",25733,26320,17125,22621,26222,40944,63906
5011,"Bradley County, Arkansas",7755,26163,18204,23168,31655,42625,52386
5013,"Calhoun County, Arkansas",3821,24884,22067,21756,25357,40714,47368
5015,"Carroll County, Arkansas",19294,23541,21702,21958,24435,31222,45098
5017,"Chicot County, Arkansas",7959,22280,16932,20778,25975,34688,69583
5019,"Clark County, Arkansas",13342,26650,12870,21159,25379,40462,43731
5021,"Clay County, Arkansas",11125,24084,19255,21225,27331,32500,49567
5023,"Cleburne County, Arkansas",18945,25785,17721,26187,21459,41182,53968
5025,"Cleveland County, Arkansas",5914,30660,20000,26332,31444,51500,44167
5027,"Columbia County, Arkansas",15253,27909,15239,24607,25837,39434,48427
5029,"Conway County, Arkansas",14397,27841,17413,25557,27636,40268,48403
5031,"Craighead County, Arkansas",61773,30060,18593,25587,28158,38774,57124
5033,"Crawford County, Arkansas",40526,27272,17890,24084,27974,41105,59453
5035,"Crittenden County, Arkansas",31386,31874,22322,26410,31688,50104,54317
5037,"Cross County, Arkansas",11966,26901,16572,25941,27454,46155,46099
5039,"Dallas County, Arkansas",5521,27810,21786,26771,30735,38041,50469
5041,"Desha County, Arkansas",8536,26264,18611,25605,24167,39375,54844
5043,"Drew County, Arkansas",11774,24759,15659,22989,23778,37273,47321
5045,"Faulkner County, Arkansas",69669,35458,21327,29925,31533,46626,56161
5047,"Franklin County, Arkansas",12221,27455,14823,24622,27997,39352,47179
5049,"Fulton County, Arkansas",8941,25016,18100,23333,25088,33917,46131
5051,"Garland County, Arkansas",68728,26557,16581,23347,24995,43257,53862
5053,"Grant County, Arkansas",12180,32820,22681,30511,31340,45996,55506
5055,"Greene County, Arkansas",28067,30006,20713,26596,27312,44057,50000
5057,"Hempstead County, Arkansas",14917,23637,17848,19863,23882,37234,48958
5059,"Hot Spring County, Arkansas",22869,26709,22415,21915,27538,38650,49574
5061,"Howard County, Arkansas",9038,24205,21631,21693,23032,39000,45443
5063,"Independence County, Arkansas",24630,25216,20517,22049,23688,34680,59153
5065,"Izard County, Arkansas",10113,24738,22895,21725,23289,35174,43047
5067,"Jackson County, Arkansas",12643,21900,16307,19472,23172,43533,56734
5069,"Jefferson County, Arkansas",49723,30685,14609,26086,29434,44456,52389
5071,"Johnson County, Arkansas",16763,25603,21048,23906,22146,37013,49559
5073,"Lafayette County, Arkansas",5142,23617,11735,25116,25485,25464,46620
5075,"Lawrence County, Arkansas",11678,26054,20364,25371,25307,35167,42090
5077,"Lee County, Arkansas",7053,21606,13631,19196,24518,38257,36761
5079,"Lincoln County, Arkansas",9895,28231,16776,26299,28063,42436,41993
5081,"Little River County, Arkansas",9177,27481,16981,29736,26063,37594,39488
5083,"Logan County, Arkansas",15084,28286,20902,23144,31466,43160,49401
5085,"Lonoke County, Arkansas",44588,35303,19449,30532,36852,47272,58806
5087,"Madison County, Arkansas",10636,26343,20273,25429,26542,43980,56017
5089,"Marion County, Arkansas",12661,21936,16280,20186,23799,38819,44063
5091,"Miller County, Arkansas",29007,29150,22089,25122,29983,40737,51023
5093,"Mississippi County, Arkansas",28954,28442,17527,26387,29619,40394,49773
5095,"Monroe County, Arkansas",5577,24160,14712,21368,24934,39954,28875
5097,"Montgomery County, Arkansas",6778,23917,14779,20471,25428,34327,48667
5099,"Nevada County, Arkansas",6153,23458,14226,22391,24106,43529,35481
5101,"Newton County, Arkansas",5918,20707,19145,18803,25046,30553,18125
5103,"Ouachita County, Arkansas",17665,28110,15411,22654,29104,39106,46385
5105,"Perry County, Arkansas",7203,29309,23289,25252,31105,31445,73125
5107,"Phillips County, Arkansas",13500,24390,19868,20272,23180,44206,52778
5109,"Pike County, Arkansas",7598,24237,14632,19438,25535,33750,48250
5111,"Poinsett County, Arkansas",16444,25419,16553,23418,28236,38205,45982
5113,"Polk County, Arkansas",14205,25086,20342,21681,23367,36926,50568
5115,"Pope County, Arkansas",38978,27357,20823,22104,27906,38201,47864
5117,"Prairie County, Arkansas",6144,26871,16048,24395,30925,32361,41563
5119,"Pulaski County, Arkansas",257858,34574,18101,25215,31815,45828,62779
5121,"Randolph County, Arkansas",12325,26626,22531,23773,25223,34619,50234
5123,"St. Francis County, Arkansas",18943,25935,16086,22632,25977,42406,51607
5125,"Saline County, Arkansas",75154,36169,20686,31058,34681,49461,60464
5127,"Scott County, Arkansas",7373,25344,21276,24536,24465,37955,49750
5129,"Searcy County, Arkansas",5947,20295,10547,22103,21522,40441,30536
5131,"Sebastian County, Arkansas",82694,29103,20277,24139,30052,44558,59185
5133,"Sevier County, Arkansas",10487,25578,23788,25235,23647,43608,50673
5135,"Sharp County, Arkansas",12405,24418,15903,23831,24514,31912,40709
5137,"Stone County, Arkansas",8861,19206,19000,17015,17405,32972,53173
5139,"Union County, Arkansas",28088,29518,15917,25063,30308,41305,62957
5141,"Van Buren County, Arkansas",12491,21626,17604,21361,19160,34073,39295
5143,"Washington County, Arkansas",124177,30488,21328,25764,30094,45483,58800
5145,"White County, Arkansas",49488,31625,20111,26661,32094,40894,53438
5147,"Woodruff County, Arkansas",5027,25041,17560,22339,27095,35984,48281
5149,"Yell County, Arkansas",14630,28669,23833,27138,29832,44444,51193
6001,"Alameda County, California",1044256,45353,21380,31152,40766,60367,83106
6003,"Alpine County, California",814,26603,8229,26833,26250,24688,66563
6005,"Amador County, California",28856,35096,18994,23489,36915,46544,73103
6007,"Butte County, California",141208,30980,19683,26027,28940,45064,54135
6009,"Calaveras County, California",33546,39975,13703,33996,39176,51449,61108
6011,"Colusa County, California",13119,30093,22153,30788,31817,50014,72159
6013,"Contra Costa County, California",715628,47678,21104,32107,43256,66024,90464
6015,"Del Norte County, California",19537,28489,16005,25180,28826,55268,60265
6017,"El Dorado County, California",126998,41412,18611,30452,35820,64064,81209
6019,"Fresno County, California",553637,28954,15921,25136,31811,51992,67660
6021,"Glenn County, California",17745,26684,19803,23889,32001,48390,60625
6023,"Humboldt County, California",90514,28575,19081,25820,27222,32027,48859
6025,"Imperial County, California",104615,27218,15477,27129,32008,45226,70000
6027,"Inyo County, California",13372,31964,15703,30110,32153,54323,50625
6029,"Kern County, California",498699,29939,16872,26392,35253,57299,70682
6031,"Kings County, California",92107,29191,20033,26630,32207,49994,80023
6033,"Lake County, California",45952,25364,16898,20569,25991,40160,37035
6035,"Lassen County, California",24601,37516,12243,25271,39677,48958,65764
6037,"Los Angeles County, California",6456772,33247,18265,26295,35446,51539,74015
6039,"Madera County, California",92862,25555,18776,27213,31583,50098,64352
6041,"Marin County, California",187029,51313,18049,27900,40262,63666,86946
6043,"Mariposa County, California",13633,32621,17252,25887,37324,41250,61078
6045,"Mendocino County, California",61319,26452,16738,25109,26222,33897,48675
6047,"Merced County, California",147604,26527,17832,27188,31224,47505,65891
6049,"Modoc County, California",6807,23210,10152,20385,26094,23882,41645
6051,"Mono County, California",9768,31786,27750,35121,29801,36639,43276
6053,"Monterey County, California",262170,30296,17370,27011,37257,51979,73501
6055,"Napa County, California",93928,39290,24217,29243,40108,54329,77474
6057,"Nevada County, California",73286,32967,19415,29555,31705,38265,56643
6059,"Orange County, California",2008808,41547,19930,29233,40559,60322,84882
6061,"Placer County, California",242794,45609,21502,32657,40031,63236,78670
6063,"Plumas County, California",14737,31534,17146,28576,30419,47025,47417
6065,"Riverside County, California",1376023,33608,20781,28713,37095,52422,71629
6067,"Sacramento County, California",929957,37571,18326,27447,36109,53613,73672
6069,"San Benito County, California",34933,36193,17983,35497,39266,59082,74286
6071,"San Bernardino County, California",1233965,33752,21044,29612,36762,51927,69895
6073,"San Diego County, California",2046489,39319,20444,29499,36627,53872,75718
6075,"San Francisco County, California",635411,50297,19651,26515,36953,62726,85317
6077,"San Joaquin County, California",420689,33029,18520,28627,37071,52468,72991
6079,"San Luis Obispo County, California",179884,36503,20038,27406,34529,50850,66557
6081,"San Mateo County, California",513291,49458,21929,31804,43103,64067,100616
6083,"Santa Barbara County, California",263390,34186,19315,29814,36690,53546,69428
6085,"Santa Clara County, California",1220205,52274,21629,30587,41979,73993,103521
6087,"Santa Cruz County, California",170658,37273,17286,30063,38700,51828,64069
6089,"Shasta County, California",122688,31256,18113,27273,29839,44897,64667
6091,"Sierra County, California",2471,25641,11464,23468,36181,51875,25815
6093,"Siskiyou County, California",32131,25580,18630,22612,25197,31793,48468
6095,"Solano County, California",275608,40988,21389,31560,41424,57177,75242
6097,"Sonoma County, California",336308,38573,22476,32112,37668,52068,65347
6099,"Stanislaus County, California",317714,31536,18034,27664,35019,53379,71175
6101,"Sutter County, California",59751,31151,17232,25840,34487,54562,71026
6103,"Tehama County, California",42164,28799,18382,27514,29209,44049,45357
6105,"Trinity County, California",10419,26621,13333,18047,26065,32125,56731
6107,"Tulare County, California",254408,26186,15614,25863,30951,50331,72468
6109,"Tuolumne County, California",41028,30145,19450,23269,30299,43434,58955
6111,"Ventura County, California",536939,40032,18719,30428,40691,61017,84790
6113,"Yolo County, California",117608,38581,18635,29649,36108,51091,70526
6115,"Yuba County, California",44157,28460,19205,22044,33576,48750,70615
8001,"Adams County, Colorado",282256,35948,22211,31500,38786,51423,57520
8003,"Alamosa County, Colorado",9361,26915,18036,20197,28411,32473,49702
8005,"Arapahoe County, Colorado",387378,38930,20231,30144,35558,49176,67971
8007,"Archuleta County, Colorado",8856,28093,15645,24279,27332,35025,47007
8009,"Baca County, Colorado",2740,26920,22321,24022,25152,34875,40917
8011,"Bent County, Colorado",4781,27414,18125,23860,27448,35924,39000
8013,"Boulder County, Colorado",192815,41285,19550,27756,34703,45344,65932
8014,"Broomfield County, Colorado",37804,50514,27087,35034,45591,59721,77274
8015,"Chaffee County, Colorado",14069,27424,13824,22424,25831,33983,42797
8017,"Cheyenne County, Colorado",1478,30861,21477,30066,34792,29784,40250
8019,"Clear Creek County, Colorado",6965,42505,19844,31216,39105,55400,62240
8021,"Conejos County, Colorado",5242,26539,15559,25175,26862,33750,48452
8023,"Costilla County, Colorado",2543,22086,18977,25664,29412,22143,7439
8025,"Crowley County, Colorado",3980,27782,32663,21463,28838,33333,41806
8027,"Custer County, Colorado",3390,23510,9375,22335,23750,21719,50500
8029,"Delta County, Colorado",22055,27202,18878,28679,24776,30941,44063
8031,"Denver County, Colorado",427755,37437,19489,26258,31908,47779,62525
8033,"Dolores County, Colorado",1295,30977,17500,32426,24185,33523,45000
8035,"Douglas County, Colorado",188063,56989,29520,37863,46521,66710,81064
8037,"Eagle County, Colorado",35308,40387,25359,31270,44084,44185,54539
8039,"Elbert County, Colorado",15994,42571,45462,37689,39292,60031,65852
8041,"El Paso County, Colorado",400054,36505,20149,27031,32780,46721,64953
8043,"Fremont County, Colorado",35922,25645,12402,21581,27933,33045,44443
8045,"Garfield County, Colorado",36920,35848,24216,30965,40240,41981,44519
8047,"Gilpin County, Colorado",4312,33131,26250,29286,29484,44519,59779
8049,"Grand County, Colorado",10549,36946,26728,36824,36480,36504,64375
8051,"Gunnison County, Colorado",9632,32327,19563,34154,29643,34231,40313
8053,"Hinsdale County, Colorado",694,28704,29688,29375,26350,25500,48958
8055,"Huerfano County, Colorado",5165,23066,12384,25197,23006,31892,38086
8057,"Jackson County, Colorado",1030,30785,16250,31711,32313,32857,37500
8059,"Jefferson County, Colorado",376852,43728,23896,33793,38899,54752,69459
8061,"Kiowa County, Colorado",907,26371,19375,32109,22446,25972,39167
8063,"Kit Carson County, Colorado",5728,30278,22117,30163,30578,32803,48000
8065,"Lake County, Colorado",4869,34142,28682,32338,36161,36765,14949
8067,"La Plata County, Colorado",35725,33786,20965,26615,31893,40288,49537
8069,"Larimer County, Colorado",197365,36831,19920,28305,32048,42220,58833
8071,"Las Animas County, Colorado",10680,29153,21327,23689,29309,36831,42559
8073,"Lincoln County, Colorado",4078,32455,22083,28958,36848,33333,42344
8075,"Logan County, Colorado",14871,27311,14396,25104,30563,35872,43729
8077,"Mesa County, Colorado",98362,32572,22024,27327,32278,40704,50902
8079,"Mineral County, Colorado",679,21008,12891,12891,21917,23571,36563
8081,"Moffat County, Colorado",8659,32639,16285,30531,35225,42083,55536
8083,"Montezuma County, Colorado",17783,27498,16649,24114,26824,37288,48849
8085,"Montrose County, Colorado",28420,28867,18713,26795,28818,39606,40846
8087,"Morgan County, Colorado",18015,29549,25066,26124,30896,34358,46036
8089,"Otero County, Colorado",12602,24751,17105,22408,22489,33839,43723
8091,"Ouray County, Colorado",3580,32087,25625,17443,30538,35814,41913
8093,"Park County, Colorado",12352,37006,21437,31071,35126,48341,54167
8095,"Phillips County, Colorado",2879,26016,17388,14980,26750,40565,44327
8097,"Pitkin County, Colorado",13207,39743,28100,23799,38131,43253,56875
8099,"Prowers County, Colorado",7845,26497,17784,22245,30000,38234,41047
8101,"Pueblo County, Colorado",106292,31028,19350,25792,29793,41326,56279
8103,"Rio Blanco County, Colorado",4482,40929,16725,42708,42121,45250,43984
8105,"Rio Grande County, Colorado",7972,25329,16660,20794,25455,39784,39830
8107,"Routt County, Colorado",16570,35110,28444,33796,32278,36353,50692
8109,"Saguache County, Colorado",4297,21426,16835,21679,23670,28373,35500
8111,"San Juan County, Colorado",501,26726,23333,23333,30956,26000,33750
8113,"San Miguel County, Colorado",5517,34459,16964,30345,31969,35817,51622
8115,"Sedgwick County, Colorado",1623,26269,17083,23611,25486,36711,51923
8117,"Summit County, Colorado",20334,34860,30705,30045,31982,38300,46104
8119,"Teller County, Colorado",17333,33538,23397,26552,32727,44066,48491
8121,"Washington County, Colorado",3377,29870,29792,26604,28537,32250,43646
8123,"Weld County, Colorado",159896,36059,23330,31185,36380,45491,59080
8125,"Yuma County, Colorado",6725,31892,25192,23045,41544,35338,34653
9001,"Fairfield County, Connecticut",624597,48608,21965,31712,40352,67200,91581
9003,"Hartford County, Connecticut",614011,43984,21506,33426,39548,59154,76915
9005,"Litchfield County, Connecticut",135867,44154,26492,38073,41564,52153,67308
9007,"Middlesex County, Connecticut",118122,50919,23291,36843,45048,60236,76554
9009,"New Haven County, Connecticut",587014,42788,22397,32558,39757,55264,71095
9011,"New London County, Connecticut",188245,41725,22320,33614,38310,53323,76334
9013,"Tolland County, Connecticut",96183,49020,25074,39885,43583,60688,73895
9015,"Windham County, Connecticut",79722,37666,25818,33213,36470,49691,65902
10001,"Kent County, Delaware",106475,36111,21711,30061,37149,45561,60168
10003,"New Castle County, Delaware",359765,42558,21123,31993,39928,54124,72363
10005,"Sussex County, Delaware",145488,30778,20807,26605,31499,41244,57004
11001,"District of Columbia, District of Columbia",430307,53660,22471,30179,37914,61334,82921
12001,"Alachua County, Florida",147203,33885,15832,25517,31082,41605,51638
12003,"Baker County, Florida",17477,35515,26591,32418,37036,43771,53403
12005,"Bay County, Florida",117483,29788,17431,25558,29351,40813,54336
12007,"Bradford County, Florida",20081,30830,19764,29626,32346,38352,41855
12009,"Brevard County, Florida",396372,31969,18954,24730,30122,47058,65763
12011,"Broward County, Florida",1238034,33779,19058,26165,32780,45497,62422
12013,"Calhoun County, Florida",10382,27066,11946,21831,32299,39398,42188
12015,"Charlotte County, Florida",129515,26402,15588,25304,26834,35720,43606
12017,"Citrus County, Florida",110076,25740,16072,22017,26027,40718,51100
12019,"Clay County, Florida",126548,36056,23527,28722,34605,49220,56066
12021,"Collier County, Florida",242723,29086,17401,24707,30534,43972,60036
12023,"Columbia County, Florida",45346,27210,19213,24314,27140,37388,53056
12027,"DeSoto County, Florida",23197,21431,15443,23242,26559,43083,40938
12029,"Dixie County, Florida",11850,26711,28196,26270,24624,37592,41310
12031,"Duval County, Florida",579312,33753,18610,27197,32706,44729,60090
12033,"Escambia County, Florida",197601,30070,16757,23737,29665,39579,54238
12035,"Flagler County, Florida",72086,31331,21136,26374,30011,39768,54933
12037,"Franklin County, Florida",8817,26239,12367,19456,33280,32500,53250
12039,"Gadsden County, Florida",31962,28591,20453,25237,31379,39364,43931
12041,"Gilchrist County, Florida",11323,26710,25100,21351,29669,43438,43917
12043,"Glades County, Florida",9527,22352,20909,19874,25610,33637,45476
12045,"Gulf County, Florida",11922,27105,11061,30089,26373,39427,45346
12047,"Hamilton County, Florida",9775,30122,14151,30308,27530,43958,52014
12049,"Hardee County, Florida",17159,21679,16296,21990,30078,41768,82537
12051,"Hendry County, Florida",23461,23999,16886,21428,28294,42060,65109
12053,"Hernando County, Florida",127654,27976,19519,24238,29188,38716,50329
12055,"Highlands County, Florida",73949,22780,13836,21873,24981,36819,50497
12057,"Hillsborough County, Florida",832593,34412,18832,26805,32555,48123,64864
12059,"Holmes County, Florida",14021,28873,15777,25701,32566,43170,44541
12061,"Indian River County, Florida",104246,27369,15924,23719,27382,40940,53922
12063,"Jackson County, Florida",35317,26360,18280,22322,26906,39823,51419
12065,"Jefferson County, Florida",10789,29927,15035,26752,30663,37284,71154
12067,"Lafayette County, Florida",5844,27532,21343,27139,26826,39460,66000
12069,"Lake County, Florida",218635,29774,20872,25186,30584,40762,48578
12071,"Lee County, Florida",463578,28503,18094,24019,30302,41093,54474
12073,"Leon County, Florida",160509,36824,16886,26427,31823,43685,53589
12075,"Levy County, Florida",28824,25374,19744,22011,25410,36424,51202
12077,"Liberty County, Florida",5518,31545,27941,21688,34643,48068,52759
12079,"Madison County, Florida",13280,25650,18360,21848,29455,35938,45156
12081,"Manatee County, Florida",239526,30540,17191,25762,30889,44839,55585
12083,"Marion County, Florida",245434,26518,17559,23938,26279,38928,56709
12085,"Martin County, Florida",112423,31350,17123,25660,29410,46554,61621
12086,"Miami-Dade County, Florida",1752160,28398,17122,21933,30735,41086,58480
12087,"Monroe County, Florida",57445,30065,19606,25104,30810,36926,57111
12089,"Nassau County, Florida",52439,33949,22000,31362,32174,43627,63153
12091,"Okaloosa County, Florida",125221,32685,16570,24601,32643,44343,73049
12093,"Okeechobee County, Florida",26676,25423,17451,25675,30635,41672,43413
12095,"Orange County, Florida",756005,31096,17822,23819,30475,43355,60539
12097,"Osceola County, Florida",179864,26991,19938,23285,28080,37741,50888
12099,"Palm Beach County, Florida",961003,33066,17455,26317,32472,46758,62088
12101,"Pasco County, Florida",336767,31835,20112,25584,31519,45363,55074
12103,"Pinellas County, Florida",690836,33051,20184,26725,32105,46483,60312
12105,"Polk County, Florida",413846,29756,17880,25793,30522,42765,51781
12107,"Putnam County, Florida",51252,26055,16313,25059,29831,36941,48980
12109,"St. Johns County, Florida",136822,39034,18633,28677,33255,49738,72425
12111,"St. Lucie County, Florida",197792,28917,19328,24587,30402,41239,49137
12113,"Santa Rosa County, Florida",105751,34752,18782,26932,33469,47520,64142
12115,"Sarasota County, Florida",300561,30221,19261,24859,28894,41771,54428
12117,"Seminole County, Florida",289124,35867,19590,27125,31900,46832,62396
12119,"Sumter County, Florida",86304,21708,16539,22614,19555,34057,33505
12121,"Suwannee County, Florida",29657,25800,21158,23667,29970,37554,56894
12123,"Taylor County, Florida",16370,24553,15152,24308,25507,33944,42663
12125,"Union County, Florida",10794,30093,15625,29228,29897,44861,38438
12127,"Volusia County, Florida",359565,29854,20186,25006,29616,40750,52558
